1 -248.52789846
2 -249.01132307
3 -249.03319732
4 -249.01884190
5 -249.01727051
6 -249.01685992
7 -249.01773598
8 -249.01826891
9 -249.01824352
10 -249.01802629
11 -249.01794941
12 -249.01798537
13 -249.01804139
14 -249.01805085
15 -249.01803550
